Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.55955429334,61664910393.24955,0.5010881990728173
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102589,15081376466.559586,0.8779812271613102
PolynomialRegression,83413.36442804344,10664698503.650135,0.9137152084893976
SGDRegressor,3.138781277605306e+17,1.37755104346277e+35,-1.1145341290212374e+24
ANN,199179.45948714804,61439466871.57296,0.5029121931837265
RandomForest,98310.46889245784,14923587228.30112,0.8792578512985129
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,102160.92081000573,15943249530.43311,0.8710080776063108
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
